Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
4,3,25-100,100,3.54,0,FALSE
4,4,25-100,WA,2.99,0,FALSE
4,4,25-100,25,3.42,0,FALSE
4,4,25-100,100,2.67,0,FALSE
4,5,25-100,WA,2.53,0,FALSE
4,5,25-100,25,2.55,0,FALSE
4,5,25-100,100,3.6,0,FALSE
4,1,50-200,WA,2.84,0,FALSE
4,1,50-200,50,3.1,0,FALSE
4,1,50-200,200,3.8,0,FALSE
4,2,50-200,WA,2.69,0,FALSE
4,2,50-200,50,3.64,0,FALSE
4,2,50-200,200,3.3,0,FALSE
4,3,50-200,WA,3.22,0,FALSE
4,3,50-200,50,2.71,0,FALSE
4,3,50-200,200,3.85,0,FALSE
4,4,50-200,WA,3.8,0,FALSE
4,4,50-200,50,3.37,0,FALSE
4,4,50-200,200,3.04,0,FALSE
4,5,50-200,WA,2.3,0,FALSE
4,5,50-200,50,4.16,0,FALSE
4,5,50-200,200,3.7,0,FALSE
7,1,75-150,WA,10.49,0,FALSE
7,1,75-150,75,11.91,0,FALSE
7,1,75-150,150,13,0,FALSE
7,2,75-150,WA,11.34,0,FALSE
7,2,75-150,75,12.3,0,FALSE
7,2,75-150,150,11.85,0,FALSE
7,3,75-150,WA,11.51,0,FALSE
7,3,75-150,75,13.29,0,FALSE
7,3,75-150,150,14.34,0,FALSE
7,4,75-150,WA,12.06,0,FALSE
7,4,75-150,75,13.61,0,FALSE
7,4,75-150,150,14.2,0,FALSE
7,5,75-150,WA,3.45,0,FALSE
7,5,75-150,75,3.53,0,FALSE
7,5,75-150,150,3.21,0,FALSE
7,4,50-75,WA,10.31,0,FALSE
7,4,50-75,50,12.48,0,FALSE
7,4,50-75,75,12.5,0,FALSE
7,3,50-75,WA,11.32,0,FALSE
7,3,50-75,50,10.46,0,FALSE
7,3,50-75,75,12.3,0,FALSE
7,1,50-75,WA,10.78,0,FALSE
7,1,50-75,50,11.07,0,FALSE
7,1,50-75,75,11.63,0,FALSE
7,2,50-75,WA,10.96,0,FALSE
7,2,50-75,50,11.48,0,FALSE
7,2,50-75,75,11.35,0,FALSE
7,5,50-75,WA,11.32,0,FALSE
7,5,50-75,50,11.03,0,FALSE
7,5,50-75,75,12.01,0,FALSE
7,1,50-150,WA,10.49,0,FALSE
7,1,50-150,50,12.06,0,FALSE
7,1,50-150,150,16.34,0,FALSE
7,2,50-150,WA,10.41,0,FALSE
7,2,50-150,50,12.76,0,FALSE
7,2,50-150,150,16.61,0,FALSE
7,3,50-150,WA,12.61,0,FALSE
7,3,50-150,50,13.41,0,FALSE
7,3,50-150,150,14.79,0,FALSE
7,4,50-150,WA,10.49,0,TRUE
7,4,50-150,50,12.54,0,TRUE
7,4,50-150,150,11.69,0,TRUE
7,5,50-150,WA,12.06,0,FALSE
7,5,50-150,50,12.39,0,FALSE
7,5,50-150,150,13.02,0,FALSE
7,1,50-100,WA,10.77,0,FALSE
7,1,50-100,50,12.21,0,FALSE
7,1,50-100,100,16.45,0,FALSE
7,2,50-100,WA,11.79,0,FALSE
7,2,50-100,50,11.26,0,FALSE
7,2,50-100,100,11.33,0,FALSE
7,3,50-100,WA,9.67,0,FALSE
7,3,50-100,50,10.55,0,FALSE
7,3,50-100,100,11.72,0,FALSE
7,5,50-100,WA,10.22,0,FALSE
7,5,50-100,50,10.15,0,FALSE
7,5,50-100,100,12.6,0,FALSE
7,4,50-100,WA,9.57,0,FALSE
7,4,50-100,50,10.81,0,FALSE
7,4,50-100,100,11.85,0,FALSE
7,1,25-75,WA,10.63,0,FALSE
7,1,25-75,25,12.4,0,FALSE
7,1,25-75,75,12.18,0,FALSE
7,2,25-75,WA,10.5,0,FALSE
7,2,25-75,25,10.87,0,FALSE
7,2,25-75,75,12.07,0,FALSE
7,3,25-75,WA,11.14,0,FALSE
7,3,25-75,25,10.7,0,FALSE
7,3,25-75,75,10.77,0,FALSE
7,4,25-75,WA,10.96,0,FALSE
7,4,25-75,25,11.15,0,FALSE
7,4,25-75,75,12.44,0,FALSE
7,5,25-75,WA,11.97,0,FALSE
7,5,25-75,25,10.58,0,FALSE
7,5,25-75,75,10.92,0,FALSE
7,1,25-50,WA,10.59,0,FALSE
7,1,25-50,25,11.72,0,FALSE
7,1,25-50,50,11.76,0,FALSE
7,2,25-50,WA,12.03,0,FALSE
7,2,25-50,25,12.12,0,FALSE
7,2,25-50,50,12.94,0,FALSE
7,3,25-50,WA,10.91,0,FALSE
7,3,25-50,25,11.03,0,FALSE
7,3,25-50,50,9.97,0,FALSE
7,4,25-50,WA,11.74,0,FALSE
7,4,25-50,25,11.43,0,FALSE
